,petition_id,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
60,fd375b8b-9f83-4644-a9ad-fa2c5914348c,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
61,0321567f-219e-4a01-923a-cc9d4fb7b4da,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,6f23e230-3e81-4f67-832c-a340731934d7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
63,ff8f08e0-2ece-4f6e-999b-6bbc45629aee,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,210f5a1d-37c9-485b-93fa-a6bd2732d9ba,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
65,11a24c12-00c6-4ea9-8674-4e185007463b,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,31412c65-7ef1-4192-944c-e91d7c6b6ad3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,10425233-047a-48ba-9c2b-007aa7deba3d,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,9e6af74c-1002-4976-a042-c71c3c78454a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,87b6985d-d786-49e5-8ff6-5df22c135169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,40f01660-f95a-477f-8175-dd2e04162056,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
71,a7e0d095-8229-4175-80a3-e8e42021ff04,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
72,4504ca5c-d750-4aa5-a42b-18931e8e15f7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,b32c4a47-0194-4a6f-b112-c11e6ea6b408,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
74,a023e36c-2b3f-41fd-8189-908a0d7d8d15,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
75,49197af8-8791-4e7c-93c8-bcdeb42c98d2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
76,90033575-1816-4a45-8e2e-44ec53cbf4f7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
77,dc17e99f-33c0-40c8-b2e2-088e940c9a92,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,699afcc3-8170-48eb-b417-7431104e0f7f,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
79,55e63db9-c56f-47e5-abd2-879f89f325a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
80,9106c068-b1f8-4235-bd34-b8d7c8a98c62,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,9ac1c992-084b-4592-a281-9d18a7e4512c,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,776ab530-7a1b-48de-92ae-39efa6392f66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,7c0b3fb1-de7e-44de-a66b-79c6b5ba87d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,68a48002-95c7-4b92-819a-6b4c698dd767,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,d2c7c38a-d9fe-4f6e-9058-cba0d333acbe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,c7e9773a-d08c-4e25-a4e7-16ed205929a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,578ac1cd-5122-4043-b895-36cc743d0cb8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,c6c9dbc5-0768-4311-a701-efeefc16c71d,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,2c0d38b9-4851-42b7-8056-3e1490bfa3fe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,b0a34b4f-ebe1-4af0-9b26-016683bbb4a9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
91,e97853d2-f8f1-473d-8b6f-d0b36424cc84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,42391394-1230-4c5c-a86c-39726489d329,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
93,a62445c7-9714-4abe-8845-05027f423342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ad325085-c725-405c-8bb8-b238cc1a565f,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,a296523d-0bf5-4a60-89ce-dac72166bbef,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
96,e54a2a4e-73ca-419e-95c7-b540469dd5fc,0,0,1,0,0,0,0,1,0,4,0,0,0,5,0,0,0,0,0,0
97,9eb5a346-666b-4ccb-8304-9626a1cea9d9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
98,86830c1d-15c7-4e47-8145-eb54c5d1de30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,4aa2c020-4b0a-4f1c-95a0-b9eb83c46841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,c9fdf356-6224-4b30-af0e-4fd90657dc78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,05304533-bb99-4a2a-9a42-265cbfe0aff9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,fce00feb-0969-44ff-be16-a1a5a72e0295,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,ee080808-f34d-4897-bdfc-610eafc799ac,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,edb67736-bc14-471a-84a5-f1db4a3fc93a,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
105,04790658-1d47-495e-a29d-adf5aab707f6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,046bfe4e-5437-4079-91ae-2e1ebe70066d,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,0b2b98b4-34a9-4dc6-be08-884f53b947e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,5a179365-5fdf-4152-8b1b-5290abb605f3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,b8259f5a-ae13-438f-af08-a143a5dda908,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
110,e66283c1-3e1c-48ed-a194-c03fd1739bff,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
111,429bbf5c-9937-49fa-8798-611e5372b9c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,537603bc-5652-478d-9bd4-56eb15d04e3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
